longitude,latitude,Z
51.9198821769951,4.483082915341377,4.484
51.91988240059216,4.483111984417352,11.057
51.919882624182016,4.48314105349366,10.245
51.91988284776469,4.483170122570301,6.142
51.91988307134017,4.483199191647276,8.243
51.919883294908466,4.483228260724584,7.87
51.91988351846957,4.483257329802225,-1.054
51.91988374202349,4.4832863988802,7.457
51.91988396557021,4.483315467958508,-1.045
51.919884189109744,4.483344537037149,-1.033
51.91988441264209,4.483373606116124,-1.032
51.91988463616725,4.483402675195432,-1.075
51.91988485968522,4.483431744275073,-1.028
51.91988508319599,4.483460813355047,-1.049
51.919885306699584,4.4834898824353555,-1.051
51.91988553019598,4.483518951515997,3.783
51.919885753685186,4.483548020596971,2.931
51.919885977167205,4.4835770896782785,2.854
51.91988620064204,4.48360615875992,2.769
51.91988642410968,4.483635227841893,2.775
